Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,9,1,0,5,DBL - Inspections,Property Use,PUI Noise Complaint Case,24##,GUELPH ST,Mount Pleasant
2017,9,1,4,10,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,33##,WORTHINGTON DRIVE,Renfrew-Collingwood
2017,9,1,5,28,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,37##,MAIN ST,Riley Park
2017,9,1,7,6,DBL - Inspections,Property Use,PUI Noise Complaint Case,12##,E BROADWAY,Mount Pleasant
2017,9,1,7,17,ENG - Transportation,Street Activities - Streets Horticulture,Horticulture Inquiry on Right-of-Way,42##,ST. CATHERINES ST,Kensington-Cedar Cottage
2017,9,1,7,31,DBL - Inspections,Property Use,PUI Noise Complaint Case,15##,E 49TH AV,Victoria-Fraserview
2017,9,1,7,43,311 Contact Centre,311 Contact Centre,Citizen Feedback,Intersection,BUTE ST and ROBSON ST,West End
2017,9,1,7,44,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,74##,GATINEAU PLACE,Victoria-Fraserview
2017,9,1,7,50,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,29##,FRASER ST,Mount Pleasant
2017,9,1,7,50,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,21##,TRIUMPH ST,Grandview-Woodland
2017,9,1,7,52,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,27##,W 35TH AV,Arbutus Ridge
2017,9,1,7,54,311 Contact Centre,311 Contact Centre,Citizen Feedback,5##,E 6TH AV,Mount Pleasant
2017,9,1,8,0,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,BIDWELL ST and DAVIE ST,West End
2017,9,1,8,0,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,22##,E 35TH AV,Kensington-Cedar Cottage
2017,9,1,8,5,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,20##,BEACH AV,West End
2017,9,1,8,6,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,##,E 43RD AV,Sunset
2017,9,1,8,7,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,10##,E 38TH AV,Kensington-Cedar Cottage
2017,9,1,8,8,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,10##,E 38TH AV,Kensington-Cedar Cottage
2017,9,1,8,16,311 Contact Centre,311 Contact Centre,Citizen Feedback,Intersection,BIDWELL ST and DAVIE ST,West End
2017,9,1,8,23,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,Intersection,E 48TH AV and KILLARNEY ST,Killarney
2017,9,1,8,28,Public Safety - Fire,Prevention,Fire Reinspection Request for Inspector,2##,MAIN ST,Downtown
2017,9,1,8,36,ENG - Streets,Streets Operations,Homelessness/Transient Issue,1##,E WATERFRONT ROAD,
2017,9,1,8,40,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,OAK ST and W 41ST AV,Oakridge
2017,9,1,8,40,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,OAK ST and W 41ST AV,South Cambie
2017,9,1,8,40,311 Contact Centre,311 Contact Centre,Citizen Feedback,1##,E 59TH AV,Sunset
2017,9,1,8,42,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,64##,KILLARNEY ST,Killarney
2017,9,1,8,44,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,57##,HOLLAND ST,Dunbar Southlands
2017,9,1,8,50,311 Contact Centre,311 Contact Centre,Citizen Feedback,27##,E 29TH AV,Renfrew-Collingwood
2017,9,1,9,0,311 Contact Centre,311 Contact Centre,Citizen Feedback,50##,PRINCE ALBERT ST,Kensington-Cedar Cottage
2017,9,1,9,0,ENG - Water & Sewer,Water Design,Water Conservation Violation,10##,E 53RD AV,Sunset
2017,9,1,9,11,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,53##,COMMERCIAL ST,Kensington-Cedar Cottage
2017,9,1,9,17,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,49##,WINDSOR ST,Kensington-Cedar Cottage
2017,9,1,9,20,DBL - Inspections,Building,Building Inspection Cancellation Case,11##,E 53RD AV,Sunset
2017,9,1,9,21,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,20##,MACDONALD ST,Kitsilano
2017,9,1,9,24,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,65##,BUTLER ST,Killarney
2017,9,1,9,24,ENG - Water & Sewer,Water Operations,Water Service Turn On/Off Request,9##,UNION ST,Strathcona
2017,9,1,9,27,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,49##,WINDSOR ST,Kensington-Cedar Cottage
2017,9,1,9,31,ENG - Streets,Streets Operations,Pothole - Repair,8##,CAMBIE ST,Downtown
2017,9,1,9,33,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,800, - 999 W 41ST AV,Oakridge
2017,9,1,9,33,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,800, - 999 W 41ST AV,South Cambie
2017,9,1,9,35,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,12##,RAYMUR AV,Strathcona
2017,9,1,9,42,311 Contact Centre,311 Contact Centre,Citizen Feedback,##,E 47TH AV,Sunset
2017,9,1,9,43,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3##,UNADDRESSED LOCATION,
2017,9,1,9,46,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,13##,PARK DRIVE,Marpole
2017,9,1,10,0,ENG - Streets,Streets Operations,Streets - General Issues,34##,PRICE ST,Renfrew-Collingwood
2017,9,1,10,6,ENG - Water & Sewer,Water Operations,Water Work Site Complaint,34##,PRICE ST,Renfrew-Collingwood
2017,9,1,10,9,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,4600, - 4799 BRUCE ST,Kensington-Cedar Cottage
2017,9,1,10,10,ENG - Streets,Streets Operations,Homelessness/Transient Issue,8##,BURRARD ST,Downtown
2017,9,1,10,10,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,68##,TYNE ST,Killarney
2017,9,1,10,11,ENG - Streets,Streets Operations,Sidewalk - Repair,6##,ABBOTT ST,Downtown
2017,9,1,10,11,ENG - Streets,Streets Operations,Sidewalk - Repair,##,EXPO BOULEVARD,Downtown
2017,9,1,10,13,ENG - Streets,Streets Operations,Homelessness/Transient Issue,Intersection,BEATTY ST and BEATTY WALK and CAMBIE BRIDGE and NELSON ST,Downtown
2017,9,1,10,20,ENG - Streets,Streets Operations,Homelessness/Transient Issue,Intersection,BEATTY WALK and CAMBIE ST and PACIFIC BOULEVARD,Downtown
2017,9,1,10,22,ENG - Streets,Streets Operations,Streets - General Issues,28##,HORLEY ST,Renfrew-Collingwood
2017,9,1,10,25,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,9##,SE MARINE DRIVE,Sunset
2017,9,1,10,25,311 Contact Centre,311 Contact Centre,Citizen Feedback,33##,QUEBEC ST,Riley Park
2017,9,1,10,26,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,11##,W 29TH AV,Shaughnessy
2017,9,1,10,27,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,##,SE MARINE DRIVE,Sunset
2017,9,1,10,29,ENG - Streets,Streets Operations,Sidewalk - Repair,36##,FRANKLIN ST,Hastings-Sunrise
2017,9,1,10,34,ENG - Water & Sewer,Water Operations,Water Work Site Complaint,17##,E 14TH AV,Kensington-Cedar Cottage
2017,9,1,10,41,311 Contact Centre,311 Contact Centre,Citizen Feedback,70##,BEECHWOOD ST,Kerrisdale
2017,9,1,10,41,ENG - Water & Sewer,Water Operations,Water General Inquiry,29##,E 5TH AV,Hastings-Sunrise
2017,9,1,10,41,ENG - Solid Waste,Transfer and Landfill Operations,Transfer Station & Recycling - General Inquiries,3##,W KENT AV NORTH,Marpole
2017,9,1,10,49,311 Contact Centre,311 Contact Centre,Citizen Feedback,22##,W BROADWAY,Kitsilano
2017,9,1,10,50,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,Intersection,E 57TH AV and KNIGHT ST,Victoria-Fraserview
2017,9,1,10,52,ENG - Water & Sewer,Water Design,Water Conservation Violation,23##,YEW ST,Kitsilano
2017,9,1,10,53,ENG - Water & Sewer,Water Operations,Water General Inquiry,5##,W 18TH AV,South Cambie
2017,9,1,10,54,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,38##,W BROADWAY,West Point Grey
2017,9,1,10,58,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,42##,W 13TH AV,West Point Grey
2017,9,1,10,58,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,13##,HOWE ST,Downtown
2017,9,1,11,2,DBL - Inspections,Property Use,PUI Noise Complaint Case,19##,E 37TH AV,Kensington-Cedar Cottage
2017,9,1,11,2,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - External Organization,Intersection,DUNSMUIR ST and SEYMOUR ST,Downtown
2017,9,1,11,4,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,22##,E 53RD AV,Victoria-Fraserview
2017,9,1,11,5,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - External Organization,29##,NANAIMO ST,Renfrew-Collingwood
2017,9,1,11,6,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,27##,E KENT AV SOUTH,Killarney
2017,9,1,11,8,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,22##,WALL ST,Grandview-Woodland
2017,9,1,11,14,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,2600, - 2699 OXFORD ST,Hastings-Sunrise
2017,9,1,11,20,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,2200, - 2299 DUNBAR ST,Kitsilano
2017,9,1,11,21,311 Contact Centre,311 Contact Centre,Citizen Feedback,3##,W 13TH AV,Mount Pleasant
2017,9,1,11,22,311 Contact Centre,311 Contact Centre,Citizen Feedback,16##,WHYTE AV,Fairview
2017,9,1,11,24,ENG - Streets,Streets Operations,Homelessness/Transient Issue,11##,E HASTINGS ST,Strathcona
2017,9,1,11,28,ENG - Streets,Streets Operations,Street - Surface Water Flooding,45##,BLENHEIM ST,Dunbar Southlands
2017,9,1,11,32,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,19##,E 4TH AV,Grandview-Woodland
2017,9,1,11,34,ENG - Water & Sewer,Water Operations,Water Service Turn On/Off Request,61##,SOUTHLANDS PLACE,Kerrisdale
2017,9,1,11,38,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,1900, - 1999 FIR ST,Fairview
2017,9,1,11,44,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,6##,E 12TH AV,Mount Pleasant
2017,9,1,11,46,ENG - Water & Sewer,Sewers Operations,Sewer Odour Complaints,61##,HIGHBURY ST,Dunbar Southlands
2017,9,1,11,48,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,8##,E 58TH AV,Sunset
2017,9,1,11,56,311 Contact Centre,311 Contact Centre,Citizen Feedback,20##,W 35TH AV,Shaughnessy
2017,9,1,11,57,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,10##,W GEORGIA ST,Downtown
2017,9,1,11,57,311 Contact Centre,311 Contact Centre,Citizen Feedback,7##,W 60TH AV,Marpole
2017,9,1,11,57,311 Contact Centre,311 Contact Centre,Citizen Feedback,8##,E 58TH AV,Sunset
2017,9,1,11,58,ENG - Water & Sewer,Water Operations,Water Work Site Complaint,40##,WELWYN ST,Kensington-Cedar Cottage
2017,9,1,11,58,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,32##,YUKON ST,Riley Park
2017,9,1,12,2,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,6##,BURRARD ST,Downtown
2017,9,1,12,5,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,7##,E 50TH AV,Sunset
2017,9,1,12,9,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,10##,CANADA PLACE,
2017,9,1,12,20,311 Contact Centre,311 Contact Centre,Citizen Feedback,18##,BARCLAY ST,West End
2017,9,1,12,24,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,400, - 499 WINDERMERE ST,Hastings-Sunrise
2017,9,1,12,29,311 Contact Centre,311 Contact Centre,Citizen Feedback,10##,W 32ND AV,Shaughnessy
2017,9,1,12,31,ENG - Streets,Streets Operations,Homelessness/Transient Issue,8##,MALKIN AV,Strathcona
2017,9,1,12,37,ENG - Streets,Streets Operations,Homelessness/Transient Issue,12##,GRANVILLE ST,Downtown
2017,9,1,12,43,311 Contact Centre,311 Contact Centre,Citizen Feedback,3600, - 3699 CAMERON AV,Kitsilano
2017,9,1,12,53,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,58##,ORMIDALE ST,Killarney
2017,9,1,12,53,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,3##,E 49TH AV,Sunset
2017,9,1,12,53,311 Contact Centre,311 Contact Centre,Citizen Feedback,4##,E 8TH AV,Mount Pleasant
2017,9,1,12,54,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,61##,ST. CATHERINES ST,Sunset
2017,9,1,13,0,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,Intersection,E HASTINGS ST and GORE AV,Strathcona
2017,9,1,13,4,311 Contact Centre,311 Contact Centre,Citizen Feedback,10##,W 37TH AV,Shaughnessy
2017,9,1,13,12,Public Safety - Fire,Prevention,Fire Reinspection Request for Firehall,##,POWELL ST,Downtown
2017,9,1,13,15,Public Safety - Fire,Prevention,Fire Reinspection Request for Inspector,##,POWELL ST,Downtown
2017,9,1,13,15,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,Intersection,DUMFRIES ST and E 35TH AV,Kensington-Cedar Cottage
2017,9,1,13,17,ENG - Streets,Streets Operations,Street - Repair,2000, - 2099 E BROADWAY,Grandview-Woodland
2017,9,1,13,17,ENG - Streets,Streets Operations,Street - Repair,2000, - 2099 E BROADWAY,Kensington-Cedar Cottage
2017,9,1,13,23,ENG - Streets,Streets Operations,Sidewalk - Repair,33##,POINT GREY ROAD,Kitsilano
2017,9,1,13,24,Public Safety - Fire,Prevention,FPB_General Inquiry Case,17##,W 2ND AV,Fairview
2017,9,1,13,31,ENG - Streets,Streets Operations,Streets - General Issues,60##,KERR ST,Killarney
2017,9,1,13,34,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,38##,GLENDALE ST,Renfrew-Collingwood
2017,9,1,13,35,ENG - Streets,Streets Operations,Street - Repair,16##,W 64TH AV,Marpole
2017,9,1,13,37,311 Contact Centre,311 Contact Centre,Citizen Feedback,70##,WALES ST,Victoria-Fraserview
2017,9,1,13,44,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,22##,GRAVELEY ST,Grandview-Woodland
2017,9,1,13,48,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,11##,E PENDER ST,Strathcona
2017,9,1,13,49,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,11##,E PENDER ST,Strathcona
2017,9,1,13,53,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,11##,E PENDER ST,Strathcona
2017,9,1,14,2,Public Safety - Fire,Prevention,Fire Reinspection Request for Inspector,3##,W CORDOVA ST,Downtown
2017,9,1,14,3,311 Contact Centre,311 Contact Centre,Citizen Feedback,36##,W 1ST AV,Kitsilano
2017,9,1,14,5,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,11##,E PENDER ST,Strathcona
2017,9,1,14,5,ENG - Office of the Deputy City Engineer,Kent Construction Supplies and Services,Snow and Ice Removal - Sidewalk Bylaw Inquiry,54##,ASH ST,South Cambie
2017,9,1,14,6,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,2##,E 4TH AV,Mount Pleasant
2017,9,1,14,7,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,8##,GRANVILLE ST,Downtown
2017,9,1,14,7,ENG - Streets,Streets Operations,Street - Repair,Intersection,PACIFIC BOULEVARD and SMITHE ST,Downtown
2017,9,1,14,10,311 Contact Centre,311 Contact Centre,Citizen Feedback,10##,BUTE ST,West End
2017,9,1,14,14,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,8##,E 26TH AV,Kensington-Cedar Cottage
2017,9,1,14,15,311 Contact Centre,311 Contact Centre,Citizen Feedback,Intersection,ALEXANDER ST and HAWKS AV,Strathcona
2017,9,1,14,15,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,##,E 49TH AV,Sunset
2017,9,1,14,22,ENG - Streets,Traffic and Electrical Operations,Pavement Marking - Repair,12##,RICHARDS ST,Downtown
2017,9,1,14,23,ENG - Streets,Streets Operations,Street - Repair,20##,E 10TH AV,Kensington-Cedar Cottage
2017,9,1,14,24,ENG - Streets,Traffic and Electrical Operations,Pavement Marking - Repair,25##,MACDONALD ST,Kitsilano
2017,9,1,14,28,311 Contact Centre,311 Contact Centre,Citizen Feedback,14##,QUEBEC ST,Downtown
2017,9,1,14,29,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,84##,CAMBIE ST,Marpole
2017,9,1,14,29,311 Contact Centre,311 Contact Centre,Citizen Feedback,44##,NW MARINE DRIVE,West Point Grey
2017,9,1,14,35,311 Contact Centre,311 Contact Centre,Citizen Feedback,Intersection,BURRARD BRIDGE and CHESTNUT ST and CORNWALL AV,Kitsilano
2017,9,1,14,36,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,11##,E PENDER ST,Strathcona
2017,9,1,14,37,DBL - Inspections,Property Use,PUI Noise Complaint Case,3##,CAMBIE ST,Downtown
2017,9,1,14,39,311 Contact Centre,311 Contact Centre,Citizen Feedback,3##,E 48TH AV,Sunset
2017,9,1,14,40,DBL - Inspections,Property Use,PUI Noise Complaint Case,3##,CAMBIE ST,Downtown
2017,9,1,14,43,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,Intersection,PANDORA ST and VICTORIA DRIVE,Grandview-Woodland
2017,9,1,14,43,ENG - Streets,Streets Operations,Homelessness/Transient Issue,7##,MALKIN AV,Strathcona
2017,9,1,14,45,ENG - Streets,Streets Operations,Sidewalk - Repair,23##,MAIN ST,Mount Pleasant
2017,9,1,14,51,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,18##,SPYGLASS PLACE,Fairview
2017,9,1,14,51,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,10##,E PENDER ST,Strathcona
2017,9,1,14,55,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,13##,RICHARDS ST,Downtown
2017,9,1,14,58,ENG - Streets,Streets Operations,Street - Repair,15##,W 49TH AV,Kerrisdale
2017,9,1,14,59,311 Contact Centre,311 Contact Centre,Citizen Feedback,45##,CLANCY LORANGER WAY,Riley Park
2017,9,1,15,4,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,11##,E PENDER ST,Strathcona
2017,9,1,15,5,ENG - Water & Sewer,Water Operations,Water Pressure or No Water Issue,57##,MCKINNON ST,Killarney
2017,9,1,15,6,ENG - Streets,Streets Operations,Homelessness/Transient Issue,4##,POWELL ST,Strathcona
2017,9,1,15,6,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,Intersection,MACDONALD ST and W 24TH AV,Arbutus Ridge
2017,9,1,15,22,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,47##,MOSS ST,Renfrew-Collingwood
2017,9,1,15,22,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,24##,CORNWALL AV,Kitsilano
2017,9,1,15,23,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,65##,NANAIMO ST,Victoria-Fraserview
2017,9,1,15,26,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,11##,E PENDER ST,Strathcona
2017,9,1,15,28,311 Contact Centre,311 Contact Centre,Citizen Feedback,1000, - 1099 DENMAN ST,West End
2017,9,1,15,38,311 Contact Centre,311 Contact Centre,Citizen Feedback,3##,W KENT AV NORTH,Marpole
2017,9,1,15,41,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,3##,UNADDRESSED LOCATION,
2017,9,1,15,41,ENG - Water & Sewer,Water Operations,Water Hydrant Issue,1000, - 1099 W WATERFRONT ROAD,Downtown
2017,9,1,15,47,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,3##,UNADDRESSED LOCATION,
2017,9,1,15,48,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,35##,SWANSACRE,Killarney
2017,9,1,15,48,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,3##,UNADDRESSED LOCATION,
2017,9,1,15,53,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,27##,SOPHIA ST,Mount Pleasant
2017,9,1,15,56,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,11##,E PENDER ST,Strathcona
2017,9,1,15,58,311 Contact Centre,311 Contact Centre,Citizen Feedback,28##,E 3RD AV,Hastings-Sunrise
2017,9,1,15,58,ENG - Office of the Deputy City Engineer,Kent Construction Supplies and Services,Snow and Ice Removal - Sidewalk Bylaw Inquiry,27##,MANITOBA ST,Mount Pleasant
2017,9,1,15,59,ENG - Water & Sewer,Water Operations,Water General Work Request,8##,W 7TH AV,Fairview
2017,9,1,16,0,ENG - Water & Sewer,Sewers and Drainage Design,Sewer Design General Inquiries,9##,W 22ND AV,South Cambie
2017,9,1,16,12,311 Contact Centre,311 Contact Centre,Citizen Feedback,1500, - 1599 SW MARINE DRIVE,Marpole
2017,9,1,16,24,ENG - Water & Sewer,Water Design,Water Conservation Violation,24##,E 48TH AV,Victoria-Fraserview
2017,9,1,16,32,311 Contact Centre,311 Contact Centre,Citizen Feedback,24##,GUELPH ST,Mount Pleasant
2017,9,1,16,38,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,32##,E 21ST AV,Renfrew-Collingwood
2017,9,1,16,40,ENG - Streets,Streets Operations,Sidewalk - Repair,31##,W 26TH AV,Dunbar Southlands
2017,9,1,16,42,Public Safety - Fire,Prevention,FPB_General Inquiry Case,27##,ALDER ST,Fairview
2017,9,1,16,42,311 Contact Centre,311 Contact Centre,Citizen Feedback,28##,E 3RD AV,Hastings-Sunrise
2017,9,1,16,43,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,18##,ROBSON ST,West End
2017,9,1,16,45,ENG - Streets,Streets Operations,Sidewalk - Repair,31##,W 26TH AV,Dunbar Southlands
2017,9,1,17,1,ENG - Streets,Streets Operations,Homelessness/Transient Issue,8##,PACIFIC ST,Downtown
2017,9,1,17,4,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,Intersection,E 6TH AV and WOODLAND DRIVE,Grandview-Woodland
2017,9,1,17,6,311 Contact Centre,311 Contact Centre,Citizen Feedback,Intersection,PIPELINE RD and STANLEY PARK DRIVE,
2017,9,1,17,11,311 Contact Centre,311 Contact Centre,Citizen Feedback,27##,E 57TH AV,Victoria-Fraserview
2017,9,1,17,14,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,400, - 499 WINDERMERE ST,Hastings-Sunrise
2017,9,1,17,24,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,29##,GRANT ST,Hastings-Sunrise
2017,9,1,17,26,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,11##,W 7TH AV,Fairview
2017,9,1,17,27,ENG - Streets,Streets Operations,Homelessness/Transient Issue,1##,E HASTINGS ST,Downtown
2017,9,1,17,39,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,12##,BURNABY ST,West End
2017,9,1,17,42,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,32##,VANNESS AV,Renfrew-Collingwood
2017,9,1,17,43,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,43##,PERRY ST,Kensington-Cedar Cottage
2017,9,1,17,47,ENG - Streets,Streets Operations,Pothole - Repair,6##,E 17TH AV,Riley Park
2017,9,1,17,50,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,49##,SPENCER ST,Renfrew-Collingwood
2017,9,1,17,51,DBL - Inspections,Property Use,PUI Noise Complaint Case,11##,QUEBEC ST,Downtown
2017,9,1,17,54,311 Contact Centre,311 Contact Centre,Citizen Feedback,31##,W 12TH AV,Kitsilano
2017,9,1,17,58,311 Contact Centre,311 Contact Centre,Citizen Feedback,10##,BUTE ST,West End
2017,9,1,18,8,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,3##,E 19TH AV,Riley Park
2017,9,1,18,10,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,9##,BEATTY ST,Downtown
2017,9,1,18,17,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,6##,E 8TH AV,Mount Pleasant
2017,9,1,18,31,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,29##,GRANT ST,Hastings-Sunrise
2017,9,1,18,58,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,10##,E 59TH AV,Sunset
2017,9,1,18,58,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,30##,GRANT ST,Hastings-Sunrise
2017,9,1,19,4,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - External Organization,6##,KINGSWAY,Mount Pleasant
2017,9,1,19,5,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - External Organization,5##,E 15TH AV,Mount Pleasant
2017,9,1,19,11,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,19##,E 6TH AV,Grandview-Woodland
2017,9,1,19,18,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,Intersection,BURNABY ST and THURLOW ST,West End
2017,9,1,19,49,311 Contact Centre,311 Contact Centre,Citizen Feedback,Intersection,EXPO BOULEVARD and SMITHE ST,Downtown
