Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,1,1,3,3,ENG - Streets,Streets Operations,Pothole - Repair,13##,E 60TH AV,Sunset
2017,1,1,3,14,ENG - Streets,Streets Operations,Pothole - Repair,##,PS NO MATCH ST,
2017,1,1,7,18,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,34##,WORTHINGTON DRIVE,Renfrew-Collingwood
2017,1,1,7,42,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,OAK ST and W 6TH AV,Fairview
2017,1,1,7,42,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,12##,W 10TH AV,Fairview
2017,1,1,7,44,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,32##,CLIVE AV,Renfrew-Collingwood
2017,1,1,7,46,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,GRANVILLE ST and W 6TH AV,Fairview
2017,1,1,7,52,CSG - Licenses,Animal Services,Lost Pets Case,55##,INVERNESS ST,Kensington-Cedar Cottage
2017,1,1,7,57,Business Planning & Services,311 Contact Centre,Citizen Feedback,2##,E KING EDWARD AV,Riley Park
2017,1,1,8,0,ENG - Streets,Streets Operations,Snow & Ice Removal - City Property,Intersection,E BROADWAY and RENFREW ST,Hastings-Sunrise
2017,1,1,8,2,ENG - Streets,Streets Operations,Snow & Ice Removal - City Property,Intersection,E BROADWAY and RENFREW ST,Hastings-Sunrise
2017,1,1,8,37,CSG - Licenses,Animal Services,Holding Stray Case,57##,RHODES ST,Victoria-Fraserview
2017,1,1,8,43,CSG - Licenses,License Office,Licence Payment Request Case,2##,E 51ST AV,Sunset
2017,1,1,8,48,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,29##,SKEENA ST,Renfrew-Collingwood
2017,1,1,8,49,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,29##,SKEENA ST,Renfrew-Collingwood
2017,1,1,8,49,Business Planning & Services,311 Contact Centre,Citizen Feedback,29##,SKEENA ST,Renfrew-Collingwood
2017,1,1,8,51,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,11##,MCLEAN DRIVE,Grandview-Woodland
2017,1,1,9,3,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,30##,E 25TH AV,Renfrew-Collingwood
2017,1,1,9,20,Business Planning & Services,311 Contact Centre,Citizen Feedback,4##,BOUNDARY ROAD,Hastings-Sunrise
