Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2018,1,1,0,50,DBL - Inspections,Property Use,PUI Noise Complaint Case,62##,DUMFRIES ST,Victoria-Fraserview
2018,1,1,8,6,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,22##,GRAVELEY ST,Grandview-Woodland
2018,1,1,9,13,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,9##,BEACH AV,Downtown
2018,1,1,9,18,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,Intersection,MOBERLY ROAD and W 6TH AV,Fairview
2018,1,1,9,20,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,58##,CREE ST,Sunset
2018,1,1,10,1,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,Intersection,CYPRESS ST and W 14TH AV,Kitsilano
2018,1,1,10,3,ENG - Water & Sewer,Water Operations,Water Hydrant Issue,Intersection,DUNBAR DIVERSION and DUNBAR ST and W 14TH AV,Kitsilano
2018,1,1,10,5,ENG - Streets,Streets Operations,Snow & Ice Removal - City Property,Intersection,DUNBAR DIVERSION and DUNBAR ST and W 14TH AV,Kitsilano
2018,1,1,12,7,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,37##,PRINCE EDWARD ST,Riley Park
2018,1,1,12,19,DBL - Inspections,Property Use,PUI Noise Complaint Case,17##,ONTARIO ST,Mount Pleasant
2018,1,1,12,36,ENG - Water & Sewer,Water Operations,Water Service Locate Request,84##,ONTARIO ST,Marpole
2018,1,1,12,47,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,80##,PRINCE EDWARD ST,Sunset
2018,1,1,13,36,ENG - Streets,Streets Operations,Pothole - Repair,16##,MAIN ST,Strathcona
2018,1,1,13,43,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,20##,W 49TH AV,Kerrisdale
2018,1,1,13,48,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,32##,YUKON ST,Riley Park
2018,1,1,13,57,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,57##,SELKIRK ST,Oakridge
2018,1,1,14,19,DBL - Inspections,Property Use,PUI Noise Complaint Case,2##,E 15TH AV,Mount Pleasant
2018,1,1,14,33,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,8##,E 50TH AV,Sunset
2018,1,1,14,40,ENG - Streets,Streets Operations,Snow & Ice Removal - City Property,3400, - 3499 POINT GREY ROAD,Kitsilano
2018,1,1,14,53,Public Safety - Fire,Communications,Home Safety Check Request Case,13##,E 55TH AV,Sunset
2018,1,1,14,53,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,5##,W BROADWAY,Fairview
2018,1,1,14,56,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,5##,W BROADWAY,Fairview
2018,1,1,15,5,ENG - Streets,Streets Operations,Pothole - Repair,35##,MOSCROP ST,Renfrew-Collingwood
2018,1,1,15,23,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,55##,ABERDEEN ST,Renfrew-Collingwood
2018,1,1,15,26,ENG - Streets,Streets Operations,Pothole - Repair,35##,LAKEWOOD ST,Kensington-Cedar Cottage
2018,1,1,15,51,ENG - Streets,Streets Operations,Street - Surface Water Flooding,55##,ABERDEEN ST,Renfrew-Collingwood
2018,1,1,16,8,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,34##,WEYMOOR PLACE,Killarney
2018,1,1,16,10,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,Intersection,E 47TH AV and ELLIOTT ST,Victoria-Fraserview
2018,1,1,16,12,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,9##,E 21ST AV,Kensington-Cedar Cottage
2018,1,1,16,14,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,9##,E 21ST AV,Kensington-Cedar Cottage
2018,1,1,16,56,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,27##,DUNDAS ST,Hastings-Sunrise
2018,1,1,17,46,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,12##,BIDWELL ST,West End
2018,1,1,17,56,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,25##,MAIN ST,Mount Pleasant
2018,1,1,18,38,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,3300, - 3399 MARQUETTE CRESCENT,Killarney
2018,1,1,18,39,ENG - Streets,Streets Operations,Pothole - Repair,Intersection,COMMERCIAL DRIVE and NAPIER ST,Grandview-Woodland
2018,1,1,18,51,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,6300, - 6499 LARCH ST,Kerrisdale
2018,1,1,19,1,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,28##,E 3RD AV,Hastings-Sunrise
2018,1,1,19,42,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,46##,FRASER ST,Riley Park
2018,1,1,19,42,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,41##,CYPRESS CRESCENT,Shaughnessy
2018,1,1,19,50,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,1800, - 1899 W KING EDWARD AV,Shaughnessy
2018,1,1,19,53,ENG - Streets,Streets Operations,Pothole - Repair,78##,ST. GEORGE ST,Sunset
2018,1,1,20,0,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,26##,PRINCE EDWARD ST,Mount Pleasant
2018,1,1,20,5,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,Intersection,JASPER CRESCENT and LEASIDE ST,Victoria-Fraserview
2018,1,1,20,9,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,30##,E 54TH AV,Killarney
2018,1,1,20,20,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,10##,WOLFE AV,Shaughnessy
2018,1,1,20,25,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,4##,E 54TH AV,Sunset
2018,1,1,20,40,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,56##,MAIN ST,Riley Park
2018,1,1,20,55,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,8##,W 67TH AV,Marpole
2018,1,1,21,9,ENG - Streets,Streets Operations,Snow & Ice Removal - City Property,Intersection,CAMBIE ST and W HASTINGS ST,Downtown
2018,1,1,21,13,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,35##,MATAPAN CRESCENT,Renfrew-Collingwood
2018,1,1,21,17,ENG - Water & Sewer,Water Operations,Water Hydrant Issue,3##,UNADDRESSED LOCATION,
2018,1,1,21,22,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,29##,W 27TH AV,Dunbar-Southlands
2018,1,1,21,57,ENG - Streets,Streets Operations,Street - Surface Water Flooding,80##,PRINCE EDWARD ST,Sunset
2018,1,1,22,26,ENG - Streets,Streets Operations,Sidewalk - Repair,8##,BURRARD ST,Downtown
2018,1,1,22,29,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,32##,E 46TH AV,Killarney
2018,1,1,23,25,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,2##,E 23RD AV,Riley Park
2018,1,2,0,42,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,64##,CLARENDON ST,Victoria-Fraserview
2018,1,2,7,21,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,3##,UNADDRESSED LOCATION,
2018,1,2,7,22,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,42##,SLOCAN ST,Renfrew-Collingwood
2018,1,2,7,30,ENG - Streets,Streets Operations,Pothole - Repair,22##,E 5TH AV,Grandview-Woodland
2018,1,2,7,31,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,63##,FREMLIN ST,Oakridge
2018,1,2,7,47,ENG - Streets,Streets Operations,Sidewalk - Repair,##,WATER ST,Downtown
2018,1,2,7,53,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,43##,PERRY ST,Kensington-Cedar Cottage
2018,1,2,7,55,Public Safety - Fire,Prevention,FPB_General Inquiry Case,3##,ABBOTT ST,Downtown
2018,1,2,8,7,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,5##,SEYMOUR ST,Downtown
2018,1,2,8,12,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,Intersection,ARBUTUS ST and W KING EDWARD AV,Arbutus-Ridge
2018,1,2,8,16,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,31##,ADANAC ST,Hastings-Sunrise
2018,1,2,8,17,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,Intersection,COMMERCIAL DRIVE and GRAVELEY ST,Grandview-Woodland
2018,1,2,8,17,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,1##,E 18TH AV,Riley Park
2018,1,2,8,19,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,27##,E PENDER ST,Hastings-Sunrise
2018,1,2,8,20,ENG - Streets,Streets Operations,Streets - General Issues,35##,CYPRESS ST,Shaughnessy
2018,1,2,8,29,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,Intersection,E 6TH AV and PENTICTON ST,Hastings-Sunrise
2018,1,2,8,30,ENG - Streets,Streets Operations,Sidewalk - Repair,11##,ROBSON ST,West End
2018,1,2,8,31,ENG - Water & Sewer,Water Operations,Water Work Site Complaint,4##,W 23RD AV,Riley Park
2018,1,2,8,32,ENG - Water & Sewer,Water Operations,Water Work Site Complaint,27##,E 56TH AV,Victoria-Fraserview
2018,1,2,8,35,ENG - Water & Sewer,Water Operations,Water Work Site Complaint,13##,MATTHEWS AV,Shaughnessy
2018,1,2,8,39,DBL - Licensing & Animal Services,License Office,Licence Payment Request Case,6##,W GEORGIA ST,Downtown
2018,1,2,8,52,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,43##,W 16TH AV,West Point Grey
2018,1,2,8,52,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,3400, - 3499 MARPOLE AV,Shaughnessy
2018,1,2,8,58,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,8##,W 63RD AV,Marpole
2018,1,2,8,59,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,32##,PENTICTON ST,Renfrew-Collingwood
2018,1,2,9,0,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,1##,ROUNDHOUSE MEWS,Downtown
2018,1,2,9,0,DBL - Licensing & Animal Services,License Office,Licence Payment Request Case,2##,ROBSON ST,Downtown
2018,1,2,9,8,ENG - Streets,Streets Operations,Streets - General Issues,8400, - 8499 ELLIOTT ST,Killarney
2018,1,2,9,11,ENG - Streets,Streets Operations,Homelessness/Transient Issue,64##,FRASER ST,Sunset
2018,1,2,9,15,ENG - Streets,Streets Operations,Street - Surface Water Flooding,12##,E 7TH AV,Mount Pleasant
2018,1,2,9,17,DBL - Licensing & Animal Services,License Office,Gone Out of Business Case,66##,BROOKS ST,Killarney
2018,1,2,9,21,ENG - Streets,Streets Operations,Streets - General Issues,7##,GRANVILLE ST,Downtown
2018,1,2,9,28,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,23##,HERMON DRIVE,Hastings-Sunrise
2018,1,2,9,28,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,30##,W 44TH AV,Kerrisdale
2018,1,2,9,32,ENG - Streets,Streets Operations,Homelessness/Transient Issue,##,E HASTINGS ST,Downtown
2018,1,2,9,33,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,25##,YORK AV,Kitsilano
2018,1,2,9,33,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,65##,BALSAM ST,Kerrisdale
2018,1,2,9,33,DBL - Licensing & Animal Services,License Office,Licence Payment Request Case,7##,HORNBY ST,Downtown
2018,1,2,9,34,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,31##,PENTICTON ST,Renfrew-Collingwood
