Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,8,1,2,1,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,5##,W 22ND AV,South Cambie
2017,8,1,4,42,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,48##,BLENHEIM ST,Dunbar Southlands
2017,8,1,4,47,ENG - Streets,Streets Operations,Street - Surface Water Flooding,17##,CHARLES ST,Grandview-Woodland
2017,8,1,7,5,ENG - Water & Sewer,Water Design,Water Conservation Violation,27##,FRANKLIN ST,Hastings-Sunrise
2017,8,1,7,36,CSG - Licenses,Animal Services,Lost Pets Case,Intersection,OAK ST and W 59TH AV,Marpole
2017,8,1,8,6,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,17##,CHARLES ST,Grandview-Woodland
2017,8,1,8,7,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,20##,E 12TH AV,Kensington-Cedar Cottage
2017,8,1,8,7,ENG - Water & Sewer,Sewers Operations,Sewer Odour Complaints,Intersection,HIGHBURY ST and W 7TH AV,West Point Grey
2017,8,1,8,8,Business Planning & Services,311 Contact Centre,Citizen Feedback,Intersection,E 18TH AV and MAIN ST,Riley Park
2017,8,1,8,12,ENG - Streets,Streets Operations,Street - Repair,5600, - 5699 PRINCE EDWARD ST,Riley Park
2017,8,1,8,21,Business Planning & Services,311 Contact Centre,Citizen Feedback,73##,GRANVILLE ST,Marpole
2017,8,1,8,24,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,69##,ONTARIO ST,Sunset
2017,8,1,8,25,Business Planning & Services,311 Contact Centre,Citizen Feedback,16##,CHARLES ST,Grandview-Woodland
2017,8,1,8,28,Business Planning & Services,311 Contact Centre,Citizen Feedback,Intersection,MAIN ST and TERMINAL AV,Strathcona
2017,8,1,8,42,ENG - Water & Sewer,Water Design,Water Conservation Violation,31##,W 11TH AV,Kitsilano
2017,8,1,8,57,CSG - Licenses,Animal Services,Lost Pets Case,Intersection,OAK ST and W 41ST AV,Oakridge
2017,8,1,8,57,CSG - Licenses,Animal Services,Lost Pets Case,Intersection,OAK ST and W 41ST AV,South Cambie
2017,8,1,9,10,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,8700, - 8799 FRENCH ST,Marpole
2017,8,1,9,10,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,55##,ABERDEEN ST,Renfrew-Collingwood
2017,8,1,9,17,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,5##,E 30TH AV,Riley Park
2017,8,1,9,19,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,49##,JOYCE ST,Renfrew-Collingwood
2017,8,1,9,24,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,48##,NW MARINE DRIVE,
2017,8,1,9,32,Business Planning & Services,311 Contact Centre,Citizen Feedback,16##,CHARLES ST,Grandview-Woodland
2017,8,1,9,37,ENG - Streets,Streets Operations,Streets - General Issues,0, - 0 GRANVILLE BRIDGE,
2017,8,1,9,38,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,5##,CARRALL ST,Downtown
2017,8,1,9,44,ENG - Streets,Streets Operations,Pothole - Repair,Intersection,SEYMOUR ST and W HASTINGS ST,Downtown
2017,8,1,9,47,ENG - Streets,Streets Operations,Sidewalk - Repair,36##,W 3RD AV,Kitsilano
2017,8,1,9,51,ENG - Water & Sewer,Water Operations,Water Service Turn On/Off Request,43##,W 9TH AV,West Point Grey
2017,8,1,9,52,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,Intersection,FOSTER AV and MELBOURNE ST,Renfrew-Collingwood
2017,8,1,9,52,Business Planning & Services,311 Contact Centre,Citizen Feedback,18##,ADANAC ST,Grandview-Woodland
2017,8,1,9,53,Business Planning & Services,311 Contact Centre,Citizen Feedback,29##,E PENDER ST,Hastings-Sunrise
2017,8,1,9,54,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,36##,W 3RD AV,Kitsilano
2017,8,1,9,54,CSG - Licenses,Animal Services,Holding Stray Case,5##,PRIOR ST,Strathcona
