Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,11,1,0,4,DBL - Inspections,Property Use,PUI Noise Complaint Case,54##,EARLES ST,Renfrew-Collingwood
2017,11,1,0,19,DBL - Inspections,Property Use,PUI Noise Complaint Case,4##,E 60TH AV,Sunset
2017,11,1,0,59,DBL - Inspections,Property Use,PUI Noise Complaint Case,18##,E 1ST AV,Grandview-Woodland
2017,11,1,1,55,DBL - Inspections,Property Use,PUI Noise Complaint Case,2##,E 13TH AV,Mount Pleasant
2017,11,1,2,6,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,49##,CHATHAM ST,Renfrew-Collingwood
2017,11,1,6,52,DBL - Inspections,Property Use,PUI Noise Complaint Case,7##,E 29TH AV,Kensington-Cedar Cottage
2017,11,1,7,15,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,57##,LANCASTER ST,Killarney
2017,11,1,7,44,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,33##,FLAGSTAFF PLACE,Killarney
2017,11,1,8,26,ENG - Streets,Streets Operations,Street - Surface Water Flooding,50##,KERSLAND DRIVE,Riley Park
2017,11,1,8,35,ENG - Water & Sewer,Sewers Operations,Sewer Odour Complaints,5##,W BROADWAY,Fairview
2017,11,1,8,35,Public Safety - Fire,Prevention,FPB_General Inquiry Case,38##,MAXWELL ST,Kensington-Cedar Cottage
2017,11,1,8,47,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,Intersection,COLUMBIA ST and E HASTINGS ST,Downtown
2017,11,1,8,51,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,17##,FRANCES ST,Grandview-Woodland
2017,11,1,8,53,Public Safety - Fire,Prevention,FPB_General Inquiry Case,13##,HARWOOD ST,West End
2017,11,1,8,57,ENG - Streets,Streets Operations,Homelessness/Transient Issue,5##,POWELL ST,Strathcona
2017,11,1,8,58,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,32##,E 16TH AV,Renfrew-Collingwood
2017,11,1,8,59,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,22##,E 44TH AV,Victoria-Fraserview
2017,11,1,9,4,ENG - Streets,Streets Operations,Sidewalk - Repair,9##,W 20TH AV,South Cambie
2017,11,1,9,7,DBL - Inspections,Property Use,PUI Noise Complaint Case,22##,CAMBRIDGE ST,Grandview-Woodland
2017,11,1,9,18,Public Safety - Fire,Prevention,Fire Reinspection Request for Inspector,1##,W 12TH AV,Mount Pleasant
2017,11,1,9,23,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,16##,W 7TH AV,Fairview
2017,11,1,9,34,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,33##,CHERRY ST,Renfrew-Collingwood
2017,11,1,9,35,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,36##,SE MARINE DRIVE,Killarney
2017,11,1,9,36,ENG - Streets,Streets Operations,Pothole - Repair,29##,W 10TH AV,Kitsilano
2017,11,1,9,42,DBL - Inspections,Property Use,PUI Noise Complaint Case,3##,E 55TH AV,Sunset
2017,11,1,9,43,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,87##,ANGUS DRIVE,Kerrisdale
2017,11,1,9,47,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,11##,E HASTINGS ST,Strathcona
2017,11,1,9,48,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,E 26TH AV and PRINCE ALBERT ST,Kensington-Cedar Cottage
2017,11,1,9,49,DBL - Inspections,Property Use,PUI Noise Complaint Case,2##,E 56TH AV,Sunset
2017,11,1,9,52,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,57##,JOYCE ST,Killarney
2017,11,1,10,0,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,Intersection,BELLEVUE DRIVE and SASAMAT ST,
2017,11,1,10,2,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,31##,E 45TH AV,Killarney
2017,11,1,10,3,DBL - Inspections,Property Use,PUI Noise Complaint Case,20##,W 12TH AV,Kitsilano
2017,11,1,10,19,ENG - Streets,Streets Operations,Sidewalk - Repair,16##,FRANCES ST,Grandview-Woodland
2017,11,1,10,27,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,28##,E 42ND AV,Killarney
