Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2018,12,1,0,19,ENG - Streets,Streets Operations,Pothole - Repair,12##,JERVIS ST,West End
2018,12,1,3,30,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,32##,NEW BRIGHTON ROAD,Hastings-Sunrise
2018,12,1,4,21,DBL - Inspections,Property Use,PUI Noise Complaint Case,55##,ORMIDALE ST,Renfrew-Collingwood
2018,12,1,6,56,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,61##,WEST BOULEVARD,Kerrisdale
2018,12,1,6,57,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,77##,ANGUS DRIVE,Marpole
2018,12,1,6,59,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,3##,HAWKS AV,Strathcona
2018,12,1,7,0,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,4##,E HASTINGS ST,Strathcona
2018,12,1,7,3,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,3##,MAIN ST,Strathcona
2018,12,1,7,25,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,34##,ARBUTUS ST,Arbutus-Ridge
2018,12,1,7,33,ENG - Streets,Streets Operations,Pothole - Repair,46##,W 16TH AV,West Point Grey
2018,12,1,7,56,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,77##,TEAKWOOD PLACE,Killarney
2018,12,1,8,0,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,20##,W 36TH AV,Shaughnessy
2018,12,1,8,2,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,34##,E 4TH AV,Hastings-Sunrise
2018,12,1,8,34,ENG - Streets,Streets Operations,Street - Surface Water Flooding,5##,W 49TH AV,Oakridge
2018,12,1,8,42,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,12##,W 37TH AV,Shaughnessy
2018,12,1,8,51,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,52##,MCKINNON ST,Renfrew-Collingwood
2018,12,1,9,2,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,E 49TH AV and TYNE ST,Killarney
2018,12,1,9,4,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,Intersection,E 49TH AV and TYNE ST,Killarney
2018,12,1,9,35,ENG - Streets,Streets Operations,Pothole - Repair,5##,HAMILTON ST,Downtown
2018,12,1,9,40,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,29##,OAK ST,Fairview
2018,12,1,9,51,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,31##,ROSEMONT DRIVE,Killarney
2018,12,1,9,53,DBL - Inspections,Property Use,PUI Noise Complaint Case,32##,E 52ND AV,Killarney
2018,12,1,10,4,ENG - Streets,Streets Operations,Street - Repair,25##,MAPLE ST,Kitsilano
2018,12,1,10,16,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,13##,E 34TH AV,Kensington-Cedar Cottage
2018,12,1,10,26,ENG - Streets,Streets Operations,Street - Repair,27##,SW MARINE DRIVE,Kerrisdale
2018,12,1,10,32,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,Intersection,OAK ST and W 14TH AV,Fairview
2018,12,1,11,13,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,69##,VICTORIA DRIVE,Victoria-Fraserview
2018,12,1,11,15,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,29##,E 6TH AV,Hastings-Sunrise
2018,12,1,11,18,ENG - Streets,Streets Operations,Homelessness/Transient Issue,9##,STATION ST,Strathcona
2018,12,1,11,22,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,15##,E 36TH AV,Kensington-Cedar Cottage
2018,12,1,11,26,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,10##,W 41ST AV,Oakridge
2018,12,1,11,29,DBL - Licensing & Animal Services,License Office,Licence Payment Request Case,62##,WEST BOULEVARD,Kerrisdale
2018,12,1,11,37,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,44##,PRINCE ALBERT ST,Kensington-Cedar Cottage
2018,12,1,11,37,ENG - Water & Sewer,Sewers Operations,Sewer General Inquiries,8##,W 13TH AV,Fairview
2018,12,1,11,38,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,17##,E 37TH AV,Kensington-Cedar Cottage
2018,12,1,11,39,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,47##,ROSS ST,Kensington-Cedar Cottage
2018,12,1,11,41,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,6##,E 29TH AV,Riley Park
2018,12,1,11,42,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,7##,E 29TH AV,Kensington-Cedar Cottage
2018,12,1,11,44,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,22##,E 40TH AV,Kensington-Cedar Cottage
2018,12,1,11,46,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,14##,E HASTINGS ST,Grandview-Woodland
2018,12,1,11,48,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,10##,E 7TH AV,Mount Pleasant
2018,12,1,12,7,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,48##,MARGUERITE ST,Shaughnessy
2018,12,1,12,11,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,11##,CONNAUGHT DRIVE,Shaughnessy
2018,12,1,12,13,ENG - Streets,Streets Operations,Street - Surface Water Flooding,73##,JASPER CRESCENT,Victoria-Fraserview
2018,12,1,12,18,ENG - Streets,Streets Operations,Pothole - Repair,10##,KEEFER ST,Strathcona
2018,12,1,12,20,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,21##,OXFORD ST,Grandview-Woodland
2018,12,1,12,21,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,6##,SEYMOUR ST,Downtown
2018,12,1,12,26,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,21##,CORNWALL AV,Kitsilano
2018,12,1,12,28,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,25##,WILLIAM ST,Hastings-Sunrise
2018,12,1,12,39,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,##,W 1ST AV,Mount Pleasant
2018,12,1,12,42,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,10##,W 50TH AV,Oakridge
2018,12,1,12,43,ENG - Streets,Streets Operations,Pothole - Repair,15##,E HASTINGS ST,Grandview-Woodland
2018,12,1,12,45,ENG - Streets,Streets Operations,Street - Repair,39##,ARBUTUS ST,Arbutus-Ridge
2018,12,1,12,53,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,16##,NELSON ST,West End
2018,12,1,13,10,ENG - Streets,Streets Operations,Sidewalk - Repair,25##,POINT GREY ROAD,Kitsilano
2018,12,1,13,11,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,DRAKE ST and GRANVILLE BRIDGE and GRANVILLE ST,Downtown
2018,12,1,13,19,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,17##,W 15TH AV,Fairview
2018,12,1,13,21,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,64##,TYNE ST,Killarney
2018,12,1,13,21,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,1300, - 1399 E 6TH AV,Grandview-Woodland
2018,12,1,13,32,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,25##,ETON ST,Hastings-Sunrise
2018,12,1,13,54,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,3##,UNADDRESSED LOCATION,
2018,12,1,13,55,ENG - Water & Sewer,Waterworks Operations,Water Service Locate Request,11##,KEEFER ST,Strathcona
2018,12,1,14,1,ENG - Water & Sewer,Waterworks Operations,Water Damage To City Water System,11##,KEEFER ST,Strathcona
2018,12,1,14,2,ENG - Streets,Streets Operations,Street - Surface Water Flooding,20##,E 22ND AV,Kensington-Cedar Cottage
2018,12,1,14,2,ENG - Streets,Streets Operations,Pothole - Repair,9##,W 57TH AV,Marpole
2018,12,1,14,7,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,8##,W 6TH AV,Fairview
2018,12,1,14,8,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,28##,CHARLES ST,Hastings-Sunrise
2018,12,1,14,17,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,1##,E 22ND AV,Riley Park
