Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,3,1,2,7,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,23##,BIRCH ST,Fairview
2017,3,1,6,35,CSG - Licenses,License Office,Licence Payment Request Case,1800, - 1899 SPYGLASS PLACE,Fairview
2017,3,1,6,37,ENG - Water & Sewer,Sewers and Drainage Design,Sewer Design General Inquiries,1800, - 1899 SPYGLASS PLACE,Fairview
2017,3,1,6,39,CSG - Inspections,Property Use,PUI Noise General Inquiry Case,1800, - 1899 SPYGLASS PLACE,Fairview
2017,3,1,6,39,CSG - Inspections,Property Use,PUI PNE Noise Complaint Case,1800, - 1899 SPYGLASS PLACE,Fairview
2017,3,1,6,40,CSG - Inspections,Property Use,PUI Noise Complaint Case,1800, - 1899 SPYGLASS PLACE,Fairview
2017,3,1,6,44,CSG - Inspections,Property Use,PUI Noise Complaint Case,1800, - 1899 SPYGLASS PLACE,Fairview
2017,3,1,7,5,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,8##,HOWE ST,Downtown
2017,3,1,7,14,ENG - Streets,Streets Operations,Pothole - Repair,1800, - 1899 SPYGLASS PLACE,Fairview
2017,3,1,7,17,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,800, - 899 HOWE ST,Downtown
2017,3,1,7,20,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,16##,E PENDER ST,Grandview-Woodland
2017,3,1,7,20,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,1800, - 1899 SPYGLASS PLACE,Fairview
2017,3,1,7,38,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,16##,W 11TH AV,Fairview
2017,3,1,7,49,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,2##,SMITHE ST,Downtown
2017,3,1,7,54,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,Intersection,HOWE ST and SMITHE ST,Downtown
2017,3,1,8,5,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,5##,MALKIN AV,Strathcona
2017,3,1,8,7,ENG - Streets,Streets Operations,Pothole - Repair,14##,E PENDER ST,Grandview-Woodland
2017,3,1,8,11,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,42##,FRASER ST,Kensington-Cedar Cottage
2017,3,1,8,25,ENG - Solid Waste,Sanitation,Cart - Garbage,36##,OAK ST,South Cambie
2017,3,1,8,26,ENG - Streets,Streets Operations,Streets - General Issues,1600, - 1699 BALSAM ST,Kitsilano
2017,3,1,8,28,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,34##,NANAIMO ST,Renfrew-Collingwood
2017,3,1,8,33,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,73##,GRANVILLE ST,Marpole
2017,3,1,8,38,ENG - Streets,Streets Operations,Street - Repair,8##,W 18TH AV,South Cambie
2017,3,1,8,38,ENG - Streets,Streets Operations,Streets - General Issues,22##,W BROADWAY,Kitsilano
2017,3,1,8,40,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,4##,E 8TH AV,Mount Pleasant
2017,3,1,8,40,Business Planning & Services,311 Contact Centre,Citizen Feedback,51##,FAIRMONT ST,Renfrew-Collingwood
2017,3,1,8,42,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,40##,VICTORIA DRIVE,Kensington-Cedar Cottage
2017,3,1,8,43,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),27##,E 48TH AV,Victoria-Fraserview
2017,3,1,8,47,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,34##,CHERRY ST,Renfrew-Collingwood
2017,3,1,8,48,Business Planning & Services,311 Contact Centre,Citizen Feedback,18##,GRAVELEY ST,Grandview-Woodland
2017,3,1,8,54,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,0, - 0 DUNSMUIR VIADUCT,
2017,3,1,8,56,ENG - Solid Waste,Sanitation,Cart - Garbage,20##,WAVERLEY AV,Victoria-Fraserview
2017,3,1,8,58,Business Planning & Services,311 Contact Centre,Citizen Feedback,50##,KILLARNEY ST,Renfrew-Collingwood
2017,3,1,9,1,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,16##,E 58TH AV,Victoria-Fraserview
2017,3,1,9,3,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,10##,COTTON DRIVE,Grandview-Woodland
2017,3,1,9,4,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),78##,VICTORIA DRIVE,Victoria-Fraserview
2017,3,1,9,11,Business Planning & Services,311 Contact Centre,Citizen Feedback,Intersection,CHAMPLAIN CRESCENT and MATHESON CRESCENT,Killarney
2017,3,1,9,18,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,38##,W 50TH AV,Dunbar Southlands
2017,3,1,9,21,CSG - Inspections,Property Use,PUI Noise General Inquiry Case,5##,W 10TH AV,Fairview
2017,3,1,9,30,ENG - Solid Waste,Sanitation,Cart - Garbage,34##,WORTHINGTON DRIVE,Renfrew-Collingwood
2017,3,1,9,30,Public Safety - Fire,Communications,Home Safety Check Request Case,18##,GRANT ST,Grandview-Woodland
2017,3,1,9,31,ENG - Solid Waste,Sanitation,Cart - Garbage,74##,TALON SQUARE,Killarney
2017,3,1,9,32,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,17##,PRESTWICK DRIVE,Victoria-Fraserview
