Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,6,1,5,36,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,55##,CYPRESS ST,Shaughnessy
2017,6,1,6,40,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,3##,UNADDRESSED LOCATION,
2017,6,1,7,7,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,5##,W 10TH AV,Fairview
2017,6,1,7,8,ENG - Water & Sewer,Water Operations,Water Hydrant Issue,82##,MANITOBA ST,Marpole
2017,6,1,7,20,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,20##,TRIUMPH ST,Grandview-Woodland
2017,6,1,7,21,ENG - Solid Waste,Sanitation,Cart - Garbage,18##,E 50TH AV,Victoria-Fraserview
2017,6,1,7,23,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,1##,W 22ND AV,Riley Park
2017,6,1,7,23,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),18##,E 50TH AV,Victoria-Fraserview
2017,6,1,7,26,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,8##,HAMILTON ST,Downtown
2017,6,1,7,36,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,19##,YEW ST,Kitsilano
2017,6,1,7,58,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - External Organization,28##,GRANVILLE ST,Fairview
2017,6,1,7,59,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,39##,PINE CRESCENT,Shaughnessy
2017,6,1,8,4,Business Planning & Services,311 Contact Centre,Citizen Feedback,10##,E 40TH AV,Kensington-Cedar Cottage
2017,6,1,8,10,ENG - Streets,Streets Operations,Homelessness/Transient Issue,4##,ALEXANDER ST,Strathcona
2017,6,1,8,10,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,26##,W 50TH AV,Kerrisdale
2017,6,1,8,11,ENG - Solid Waste,Sanitation,Cart - Garbage,5##,E PENDER ST,Strathcona
2017,6,1,8,12,ENG - Water & Sewer,Sewers Operations,Sewer General Inquiries,45##,GOTHARD ST,Renfrew-Collingwood
2017,6,1,8,13,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,600, - 699 HORNBY ST,Downtown
2017,6,1,8,14,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,19##,MANITOBA ST,Mount Pleasant
2017,6,1,8,19,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,Intersection,OAK ST and W 7TH AV,Fairview
2017,6,1,8,26,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),25##,W 7TH AV,Kitsilano
2017,6,1,8,33,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,29##,W 28TH AV,Dunbar Southlands
2017,6,1,8,38,ENG - Streets,Streets Operations,Streets - General Issues,35##,WELWYN ST,Kensington-Cedar Cottage
2017,6,1,8,39,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,42##,KNIGHT ST,Kensington-Cedar Cottage
2017,6,1,8,39,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,38##,W 2ND AV,West Point Grey
2017,6,1,8,55,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,11##,HOMER ST,Downtown
2017,6,1,9,0,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),29##,CELTIC AV,Kerrisdale
2017,6,1,9,2,ENG - Streets,Streets Operations,Pothole - Repair,28##,W 34TH AV,Arbutus Ridge
2017,6,1,9,2,Business Planning & Services,311 Contact Centre,Citizen Feedback,19##,E 7TH AV,Grandview-Woodland
2017,6,1,9,7,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,35##,HULL ST,Kensington-Cedar Cottage
2017,6,1,9,8,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,3##,CARRALL ST,Downtown
2017,6,1,9,10,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,35##,HULL ST,Kensington-Cedar Cottage
2017,6,1,9,10,ENG - Streets,Traffic and Electrical Operations,Street and Traffic Light - Utility Damage,3##,CARRALL ST,Downtown
2017,6,1,9,16,Business Planning & Services,311 Contact Centre,Citizen Feedback,21##,W 12TH AV,Kitsilano
2017,6,1,9,16,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,19##,POWELL ST,Grandview-Woodland
2017,6,1,9,17,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,24##,E 24TH AV,Renfrew-Collingwood
2017,6,1,9,18,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,Intersection,BROUGHTON ST and COMOX ST,West End
2017,6,1,9,22,Business Planning & Services,311 Contact Centre,Citizen Feedback,21##,W 12TH AV,Kitsilano
2017,6,1,9,28,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,6300, - 6399 OAK ST,Oakridge
2017,6,1,9,30,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),43##,ROSS ST,Kensington-Cedar Cottage
2017,6,1,9,31,ENG - Solid Waste,Sanitation,Cart - Garbage,43##,ROSS ST,Kensington-Cedar Cottage
2017,6,1,9,32,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,36##,VICTORIA DRIVE,Kensington-Cedar Cottage
2017,6,1,9,36,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,36##,W 35TH AV,Dunbar Southlands
2017,6,1,9,39,CSG - Inspections,Building,Building Inspection Cancellation Case,34##,W 22ND AV,Dunbar Southlands
2017,6,1,9,40,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),35##,W 29TH AV,Dunbar Southlands
2017,6,1,9,44,ENG - Streets,Streets Operations,Streets - General Issues,9##,E 28TH AV,Kensington-Cedar Cottage
2017,6,1,9,45,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,33##,W 6TH AV,Kitsilano
2017,6,1,9,49,CSG - Licenses & Inspections,Administration Branch,Occupancy Permit Information Request,15##,W 2ND AV,Fairview
2017,6,1,9,51,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,32##,LAUREL ST,South Cambie
2017,6,1,10,6,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,29##,HIGHBURY ST,West Point Grey
2017,6,1,10,8,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,3##,W 11TH AV,Mount Pleasant
2017,6,1,10,8,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),4##,E 30TH AV,Riley Park
2017,6,1,10,10,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,38##,W 16TH AV,West Point Grey
2017,6,1,10,10,ENG - Solid Waste,Sanitation,Cart - Garbage,66##,MARINE CRESCENT,Kerrisdale
