Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,10,1,0,34,DBL - Inspections,Property Use,PUI Noise Complaint Case,15##,W 35TH AV,Shaughnessy
2017,10,1,0,53,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,80##,CARTIER ST,Marpole
2017,10,1,1,31,DBL - Inspections,Property Use,PUI Noise Complaint Case,14##,BURRARD ST,Downtown
2017,10,1,1,49,DBL - Inspections,Property Use,PUI Noise Complaint Case,28##,E 2ND AV,Hastings-Sunrise
2017,10,1,7,49,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,1600, - 1699 BARCLAY ST,West End
2017,10,1,8,4,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,Intersection,CAMBIE ST and W 6TH AV,Mount Pleasant
2017,10,1,8,10,DBL - Inspections,Property Use,PUI Noise Complaint Case,29##,HEATHER ST,Fairview
2017,10,1,8,37,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,16##,BARCLAY ST,West End
2017,10,1,8,58,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,Intersection,GRANVILLE ST and SW MARINE DRIVE,Marpole
2017,10,1,9,0,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,14##,WILLIAM ST,Grandview-Woodland
2017,10,1,9,19,ENG - Streets,Streets Operations,Bridges & Structures - Repair,0, - 0 BURRARD BRIDGE,
2017,10,1,9,23,ENG - Streets,Streets Operations,Streets - General Issues,0, - 0 BURRARD BRIDGE,
2017,10,1,9,27,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,29##,W 24TH AV,Arbutus Ridge
2017,10,1,9,49,ENG - Streets,Streets Operations,Street - Repair,14##,E 13TH AV,Kensington-Cedar Cottage
2017,10,1,9,55,ENG - Streets,Streets Operations,Street - Repair,14##,E 13TH AV,Kensington-Cedar Cottage
2017,10,1,10,0,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,3##,UNADDRESSED LOCATION,
2017,10,1,10,11,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,18##,SEMLIN DRIVE,Grandview-Woodland
2017,10,1,10,13,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,5##,E 19TH AV,Riley Park
2017,10,1,10,28,DBL - Inspections,Property Use,PUI Noise Complaint Case,28##,E GEORGIA ST,Hastings-Sunrise
2017,10,1,10,33,DBL - Inspections,Property Use,PUI Noise Complaint Case,2##,W 2ND AV,Mount Pleasant
2017,10,1,10,33,ENG - Streets,Streets Operations,Homelessness/Transient Issue,8##,GRANVILLE ST,Downtown
2017,10,1,10,49,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,33##,E 62ND AV,Killarney
2017,10,1,10,50,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,33##,MAQUINNA DRIVE,Killarney
2017,10,1,11,25,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,11##,BIDWELL ST,West End
