Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,4,1,7,33,Business Planning & Services,311 Contact Centre,Citizen Feedback,10##,SEYMOUR ST,Downtown
2017,4,1,8,8,ENG - Streets,Streets Operations,Street - Surface Water Flooding,23##,WATERLOO ST,Kitsilano
2017,4,1,8,24,ENG - Streets,Streets Operations,Street - Surface Water Flooding,55##,WEST BOULEVARD,Arbutus Ridge
2017,4,1,8,26,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,10##,SALSBURY DRIVE,Grandview-Woodland
2017,4,1,8,27,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,66##,LANARK ST,Victoria-Fraserview
2017,4,1,8,29,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),20##,E 2ND AV,Grandview-Woodland
2017,4,1,8,31,ENG - Streets,Streets Operations,Pothole - Repair,28##,GRANVILLE ST,Fairview
2017,4,1,8,33,CSG - Inspections,Property Use,PUI Noise Complaint Case,22##,TRIUMPH ST,Grandview-Woodland
2017,4,1,8,33,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),26##,E PENDER ST,Hastings-Sunrise
2017,4,1,8,34,ENG - Solid Waste,Sanitation,Cart - Garbage,16##,E 58TH AV,Victoria-Fraserview
2017,4,1,8,35,Business Planning & Services,311 Contact Centre,Citizen Feedback,20##,E 2ND AV,Grandview-Woodland
2017,4,1,8,41,ENG - Streets,Streets Operations,Street - Surface Water Flooding,30##,LAUREL ST,Fairview
2017,4,1,8,58,Business Planning & Services,311 Contact Centre,Citizen Feedback,28##,WALL ST,Hastings-Sunrise
2017,4,1,9,2,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,31##,GRANVILLE ST,Fairview
2017,4,1,9,39,ENG - Streets,Streets Operations,Pothole - Repair,200, - 299 W PENDER ST,Downtown
2017,4,1,9,43,ENG - Streets,Streets Operations,Pothole - Repair,51##,DUMFRIES ST,
2017,4,1,9,47,ENG - Streets,Streets Operations,Sidewalk - Repair,400, - 499 W 18TH AV,Riley Park
2017,4,1,9,55,ENG - Streets,Streets Operations,Pothole - Repair,23##,W BROADWAY,Kitsilano
2017,4,1,10,3,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,8300, - 8399 ADERA ST,Marpole
