Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,2,1,4,3,ENG - Streets,Streets Operations,Pothole - Repair,3##,UNADDRESSED LOCATION,
2017,2,1,6,11,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,6##,W 71ST AV,Marpole
2017,2,1,7,2,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,Intersection,E 64TH AV and FRASER ST,Sunset
2017,2,1,7,28,ENG - Streets,Streets Operations,Street - Repair,13##,E 18TH AV,Kensington-Cedar Cottage
2017,2,1,7,38,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,16##,LAURIER AV,Shaughnessy
2017,2,1,7,43,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,38##,GLENDALE ST,Renfrew-Collingwood
2017,2,1,7,43,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,34##,MATAPAN CRESCENT,Renfrew-Collingwood
2017,2,1,7,49,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,35##,PRICE ST,Renfrew-Collingwood
2017,2,1,7,49,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,32##,W 34TH AV,Dunbar Southlands
2017,2,1,7,54,ENG - Streets,Streets Operations,Street - Repair,32##,W 34TH AV,Dunbar Southlands
2017,2,1,8,6,ENG - Streets,Streets Operations,Snow & Ice Removal - City Property,Intersection,E 65TH AV and FRASER ST,Sunset
2017,2,1,8,23,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,11##,W BROADWAY,Fairview
2017,2,1,8,30,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - External Organization,10##,BUTE ST,West End
2017,2,1,8,31,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,45##,W 8TH AV,West Point Grey
2017,2,1,8,31,ENG - Water & Sewer,Water Operations,Water Service Turn On/Off Request,10##,W PENDER ST,Downtown
2017,2,1,8,32,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,32##,W 12TH AV,Kitsilano
2017,2,1,8,32,ENG - Streets,Streets Operations,Pothole - Repair,Intersection,CAMBIE ST and W BROADWAY,Mount Pleasant
2017,2,1,8,33,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,3000, - 3099 HEATHER ST,Fairview
2017,2,1,8,33,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,28##,TRINITY ST,Hastings-Sunrise
2017,2,1,8,35,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,13##,E 54TH AV,Sunset
2017,2,1,8,36,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,44##,W 12TH AV,West Point Grey
2017,2,1,8,38,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,1000, - 1099 EVELEIGH ST,Downtown
2017,2,1,8,40,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,5##,E 47TH AV,Sunset
2017,2,1,8,44,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,32##,E GEORGIA ST,Hastings-Sunrise
2017,2,1,8,45,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,Intersection,LAUREL ST and W 16TH AV,Fairview
2017,2,1,8,45,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,Intersection,LAUREL ST and W 16TH AV,South Cambie
2017,2,1,8,48,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,30##,W 7TH AV,Kitsilano
2017,2,1,8,49,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,4700, - 4899 WINDSOR ST,Kensington-Cedar Cottage
2017,2,1,8,58,Business Planning & Services,311 Contact Centre,Citizen Feedback,6##,EXPO BOULEVARD,Downtown
2017,2,1,9,5,ENG - Water & Sewer,Water Operations,Water Service Turn On/Off Request,16##,VENABLES ST,Grandview-Woodland
2017,2,1,9,6,Public Safety - Fire,Communications,Home Safety Check Request Case,34##,E 29TH AV,Renfrew-Collingwood
2017,2,1,9,10,ENG - Streets,Streets Operations,Snow & Ice Removal - City Property,Intersection,BURRARD BRIDGE and BURRARD ST and PACIFIC ST,Downtown
2017,2,1,9,12,Business Planning & Services,311 Contact Centre,Citizen Feedback,Intersection,ALBERTA ST and W 5TH AV,Mount Pleasant
2017,2,1,9,13,ENG - Solid Waste,Sanitation,Cart - Garbage,24##,W 13TH AV,Kitsilano
2017,2,1,9,14,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,8##,W 23RD AV,South Cambie
2017,2,1,9,14,ENG - Streets,Streets Operations,Street - Repair,35##,W 20TH AV,Dunbar Southlands
2017,2,1,9,18,Business Planning & Services,311 Contact Centre,Citizen Feedback,1000, - 1099 W 14TH AV,Fairview
2017,2,1,9,22,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,8##,W 23RD AV,South Cambie
2017,2,1,9,23,ENG - Water & Sewer,Water Design,Water Conservation Violation,71##,ANGUS DRIVE,Kerrisdale
2017,2,1,9,28,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,1##,W 21ST AV,Riley Park
