Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,7,14,19,40,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,3##,E 19TH AV,Riley Park
2017,7,14,19,43,Business Planning & Services,311 Contact Centre,Citizen Feedback,29##,E HASTINGS ST,Hastings-Sunrise
2017,7,14,19,46,CSG - Inspections,Property Use,PUI Noise Complaint Case,14##,E HASTINGS ST,Grandview-Woodland
2017,7,14,19,48,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,41##,KNIGHT ST,Kensington-Cedar Cottage
2017,7,14,20,33,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,10##,E 18TH AV,Kensington-Cedar Cottage
2017,7,14,20,35,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,29##,ONTARIO ST,Mount Pleasant
2017,7,14,20,56,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,5##,E 10TH AV,Mount Pleasant
2017,7,14,21,0,ENG - Streets,Streets Operations,Pothole - Repair,Intersection,EUCLID AV and JOYCE ST,Renfrew-Collingwood
2017,7,14,21,0,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,37##,INVERNESS ST,Kensington-Cedar Cottage
2017,7,14,21,31,CSG - Licenses,Animal Services,Animal Control General Inquiry Case,12##,RAYMUR AV,Strathcona
2017,7,14,21,40,CSG - Inspections,Property Use,PUI Noise Complaint Case,33##,W 13TH AV,Kitsilano
2017,7,15,7,54,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,1##,W CORDOVA ST,Downtown
2017,7,15,7,55,Business Planning & Services,311 Contact Centre,Citizen Feedback,1##,W CORDOVA ST,Downtown
2017,7,15,8,1,CSG - Inspections,Property Use,PUI Noise Complaint Case,12##,HORNBY ST,Downtown
2017,7,15,8,6,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,Intersection,PINE ST and W 5TH AV,Fairview
2017,7,15,8,8,Business Planning & Services,311 Contact Centre,Citizen Feedback,3##,E BROADWAY,Mount Pleasant
2017,7,15,8,10,ENG - Streets,Streets Operations,Streets - General Issues,25##,GRAVELEY ST,Hastings-Sunrise
2017,7,15,8,29,ENG - Streets,Streets Operations,Homelessness/Transient Issue,Intersection,GORE AV and UNION ST,Strathcona
2017,7,15,8,30,ENG - Water & Sewer,Water Design,Water Conservation Violation,41##,SALISH DRIVE,Dunbar Southlands
2017,7,15,8,30,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),6##,E 65TH AV,Sunset
2017,7,15,8,32,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,Intersection,CAMBIE ST and DUNSMUIR ST,Downtown
2017,7,15,8,37,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,Intersection,BRUNSWICK ST and E 2ND AV,Mount Pleasant
2017,7,15,8,44,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,BALACLAVA ST and W BROADWAY,Kitsilano
2017,7,15,8,57,ENG - Streets,Streets Operations,Streets - General Issues,8100, - 8199 KNIGHT ST BRIDGE,Sunset
