Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,5,1,0,25,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,7##,BEATTY ST,Downtown
2017,5,1,7,4,CSG - Licenses,Animal Services,Lost Pets Case,54##,VICTORIA DRIVE,Kensington-Cedar Cottage
2017,5,1,7,14,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,Intersection,CARRALL ST and PACIFIC BOULEVARD,Downtown
2017,5,1,7,21,ENG - Streets,Streets Operations,Pothole - Repair,6##,WOODLAND DRIVE,Grandview-Woodland
2017,5,1,7,40,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,Intersection,LARCH ST and W 4TH AV,Kitsilano
2017,5,1,7,56,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),69##,RALEIGH ST,Killarney
2017,5,1,8,2,ENG - Solid Waste,Sanitation,Cart - Garbage,27##,W 42ND AV,Kerrisdale
2017,5,1,8,3,ENG - Solid Waste,Sanitation,Cart - Garbage,27##,W 42ND AV,Kerrisdale
2017,5,1,8,4,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),12##,TECUMSEH AV,Shaughnessy
2017,5,1,8,6,ENG - Solid Waste,Sanitation,Cart - Garbage,31##,W 16TH AV,Arbutus Ridge
2017,5,1,8,9,ENG - Streets,Streets Operations,Pothole - Repair,36##,NAPIER ST,Hastings-Sunrise
2017,5,1,8,12,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),27##,W 42ND AV,Kerrisdale
2017,5,1,8,13,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),19##,E 64TH AV,Victoria-Fraserview
2017,5,1,8,15,ENG - Solid Waste,Sanitation,Cart - Garbage,16##,E 59TH AV,Victoria-Fraserview
2017,5,1,8,19,Business Planning & Services,311 Contact Centre,Citizen Feedback,5##,MAIN ST,Strathcona
2017,5,1,8,23,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),16##,E 59TH AV,Victoria-Fraserview
2017,5,1,8,23,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,63##,BUTLER ST,Killarney
2017,5,1,8,25,ENG - Streets,Streets Operations,Streets - General Issues,300, - 399 E 10TH AV,Mount Pleasant
2017,5,1,8,30,ENG - Solid Waste,Sanitation,Cart - Garbage,5##,E 55TH AV,Sunset
2017,5,1,8,30,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,2##,E 56TH AV,Sunset
2017,5,1,8,30,ENG - Solid Waste,Sanitation,Cart - Garbage,61##,ST. CLAIR PLACE,Dunbar Southlands
2017,5,1,8,35,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,9##,ROBSON ST,Downtown
2017,5,1,8,38,Business Planning & Services,311 Contact Centre,Citizen Feedback,9##,ROBSON ST,Downtown
